m-class-#	m-prop-#	m-prop-name	m-prop-title	m-prop-loc	m-prop-type	m-prop-det	m-delim-check
311.104	7	"SMOKED IN PAST MONTH"		"6;1"	"S"	"n:No;y:Yes;o:Never smoked;"	0
311.104	7.1	"SMOKING DAYS PER WEEK"		"6;2"	"NJ1,0"		0
311.104	7.2	"SMOKING PACKS PER DAY"		"6;3"	"NJ4,2"		0
311.104	7.3	"LAST CIGARETTE DATE"		"6;4"	"D"		0
311.104	7.4	"TRIED TO QUIT"		"6;5"	"S"	"n:No;y:Yes;o:N/A;"	0
311.104	7.5	"QUIT NUMBER"		"6;6"	"NJ2,0"		0
311.104	7.6	"METHODS USED"		"7;0"	"311.144PA"		0
311.144	.01	"METHODS USED"		"0;1"	"MP231.10211'"	"SAMI(231.10211,"	0
311.104	7.7	"OTHER METHOD SPECIFY"		"8;1"	"FJ30"		0
311.104	7.8	"THINKING OF QUITTING"		"8;2"	"S"	"n:No;y:Yes;"	0
311.104	7.9	"CESSATION MATERIALS"		"8;3"	"S"	"n:No;y:Yes;"	0
311.104	8	"OVERALL HEALTH"		"8;4"	"S"	"a:Excellent;b:Very good;c:Good;d:Fair;e:Poor;f:Very poor;"	0
311.104	8.1	"PHYSICAL LIMITS"		"8;5"	"S"	"a:Not at all;b:Very little;c:Somewhat;d:Quite a lot;e:Could not do;"	0
311.104	8.2	"HEALTH WORK"		"8;6"	"S"	"a:None at all;b:A little bit;c:Some;d:Quite a lot;e:Could not do;"	0
311.104	8.3	"BODILY PAIN"		"8;7"	"S"	"a:None;b:Very mild;c:Mild;d:Moderate;e:Severe;f:Very severe;"	0
311.104	8.4	"HEALTH ENERGY"		"8;8"	"S"	"a:Very much;b:Quite a lot;c:Some;d:A little;e:None;"	0
311.104	8.5	"HEALTH SOCIAL"		"8;9"	"S"	"a:None at all;b:Very little;c:Somewhat;d:Quite a lot;e:Could not do;"	0
311.104	8.6	"HEALTH EMOTIONAL"		"8;10"	"S"	"a:Not at all;b:Slightly;c:Moderately;d:Quite a lot;e:Extremely;"	0
311.104	8.7	"HEALTH DAILY"		"8;11"	"S"	"a:Not at all;b:Very little;c:Somewhat;d:Quite a lot;e:Could not do;"	0
