FIELD NUM	QUESTION	NAME	TYPE	REQUIRED	PLACEHOLDER	VALUES	LABELS	
78	Nodule status Nodule 2	cect2st	select-one	0		-;un;bc;pc;re;rg;tn;pp;pn;pi;ub;bb;mb;ab;om;mr;br	"-;Unknown;Benign (Ca++);Prob benign, prob Ca++;Resolved;Resolving;No change - 2 yrs;PET - positive;PET - negative;PET - indeterminate;Biopsy - unknown;Biopsy - benign;Biopsy - malignant;Biopsy - atyp bronch prolif;Biopsy - metastatic;Resected - malignant;Resected - benign"	
79	Nodule status Nodule 3	cect3st	select-one	0		-;un;bc;pc;re;rg;tn;pp;pn;pi;ub;bb;mb;ab;om;mr;br	"-;Unknown;Benign (Ca++);Prob benign, prob Ca++;Resolved;Resolving;No change - 2 yrs;PET - positive;PET - negative;PET - indeterminate;Biopsy - unknown;Biopsy - benign;Biopsy - malignant;Biopsy - atyp bronch prolif;Biopsy - metastatic;Resected - malignant;Resected - benign"	
80	Nodule status Nodule 4	cect4st	select-one	0		-;un;bc;pc;re;rg;tn;pp;pn;pi;ub;bb;mb;ab;om;mr;br	"-;Unknown;Benign (Ca++);Prob benign, prob Ca++;Resolved;Resolving;No change - 2 yrs;PET - positive;PET - negative;PET - indeterminate;Biopsy - unknown;Biopsy - benign;Biopsy - malignant;Biopsy - atyp bronch prolif;Biopsy - metastatic;Resected - malignant;Resected - benign"	
81	Nodule status Nodule 5	cect5st	select-one	0		-;un;bc;pc;re;rg;tn;pp;pn;pi;ub;bb;mb;ab;om;mr;br	"-;Unknown;Benign (Ca++);Prob benign, prob Ca++;Resolved;Resolving;No change - 2 yrs;PET - positive;PET - negative;PET - indeterminate;Biopsy - unknown;Biopsy - benign;Biopsy - malignant;Biopsy - atyp bronch prolif;Biopsy - metastatic;Resected - malignant;Resected - benign"	
82	Nodule status Nodule 6	cect6st	select-one	0		-;un;bc;pc;re;rg;tn;pp;pn;pi;ub;bb;mb;ab;om;mr;br	"-;Unknown;Benign (Ca++);Prob benign, prob Ca++;Resolved;Resolving;No change - 2 yrs;PET - positive;PET - negative;PET - indeterminate;Biopsy - unknown;Biopsy - benign;Biopsy - malignant;Biopsy - atyp bronch prolif;Biopsy - metastatic;Resected - malignant;Resected - benign"	
83	Nodule status Nodule 7	cect7st	select-one	0		-;un;bc;pc;re;rg;tn;pp;pn;pi;ub;bb;mb;ab;om;mr;br	"-;Unknown;Benign (Ca++);Prob benign, prob Ca++;Resolved;Resolving;No change - 2 yrs;PET - positive;PET - negative;PET - indeterminate;Biopsy - unknown;Biopsy - benign;Biopsy - malignant;Biopsy - atyp bronch prolif;Biopsy - metastatic;Resected - malignant;Resected - benign"	
84	Nodule status Nodule 8	cect8st	select-one	0		-;un;bc;pc;re;rg;tn;pp;pn;pi;ub;bb;mb;ab;om;mr;br	"-;Unknown;Benign (Ca++);Prob benign, prob Ca++;Resolved;Resolving;No change - 2 yrs;PET - positive;PET - negative;PET - indeterminate;Biopsy - unknown;Biopsy - benign;Biopsy - malignant;Biopsy - atyp bronch prolif;Biopsy - metastatic;Resected - malignant;Resected - benign"	
85	Nodule status Nodule 9	cect9st	select-one	0		-;un;bc;pc;re;rg;tn;pp;pn;pi;ub;bb;mb;ab;om;mr;br	"-;Unknown;Benign (Ca++);Prob benign, prob Ca++;Resolved;Resolving;No change - 2 yrs;PET - positive;PET - negative;PET - indeterminate;Biopsy - unknown;Biopsy - benign;Biopsy - malignant;Biopsy - atyp bronch prolif;Biopsy - metastatic;Resected - malignant;Resected - benign"	
86	Nodule status Nodule 10	cect10st	select-one	0		-;un;bc;pc;re;rg;tn;pp;pn;pi;ub;bb;mb;ab;om;mr;br	"-;Unknown;Benign (Ca++);Prob benign, prob Ca++;Resolved;Resolving;No change - 2 yrs;PET - positive;PET - negative;PET - indeterminate;Biopsy - unknown;Biopsy - benign;Biopsy - malignant;Biopsy - atyp bronch prolif;Biopsy - metastatic;Resected - malignant;Resected - benign"	
87	Nodule consistency Nodule 1	cect1nt	select-one	0		-;s;m;g;o	-;Solid;Part-solid;Nonsolid;Other (see comment)	
88	Nodule consistency Nodule 2	cect2nt	select-one	0		-;s;m;g;o	-;Solid;Part-solid;Nonsolid;Other (see comment)	
89	Nodule consistency Nodule 3	cect3nt	select-one	0		-;s;m;g;o	-;Solid;Part-solid;Nonsolid;Other (see comment)	
90	Nodule consistency Nodule 4	cect4nt	select-one	0		-;s;m;g;o	-;Solid;Part-solid;Nonsolid;Other (see comment)	
91	Nodule consistency Nodule 5	cect5nt	select-one	0		-;s;m;g;o	-;Solid;Part-solid;Nonsolid;Other (see comment)	
92	Nodule consistency Nodule 6	cect6nt	select-one	0		-;s;m;g;o	-;Solid;Part-solid;Nonsolid;Other (see comment)	
93	Nodule consistency Nodule 7	cect7nt	select-one	0		-;s;m;g;o	-;Solid;Part-solid;Nonsolid;Other (see comment)	
94	Nodule consistency Nodule 8	cect8nt	select-one	0		-;s;m;g;o	-;Solid;Part-solid;Nonsolid;Other (see comment)	
95	Nodule consistency Nodule 9	cect9nt	select-one	0		-;s;m;g;o	-;Solid;Part-solid;Nonsolid;Other (see comment)	
96	Nodule consistency Nodule 10	cect10nt	select-one	0		-;s;m;g;o	-;Solid;Part-solid;Nonsolid;Other (see comment)	
97	Length (mm) Nodule 1	cect1sl	text	1			Length (mm)	
98	Length (mm) Nodule 2	cect2sl	text	1			Length (mm)	
99	Length (mm) Nodule 3	cect3sl	text	1			Length (mm)	
100	Length (mm) Nodule 4	cect4sl	text	1			Length (mm)	
101	Length (mm) Nodule 5	cect5sl	text	1			Length (mm)	
102	Length (mm) Nodule 6	cect6sl	text	1			Length (mm)	
103	Length (mm) Nodule 7	cect7sl	text	1			Length (mm)	
104	Length (mm) Nodule 8	cect8sl	text	1			Length (mm)	
105	Length (mm) Nodule 9	cect9sl	text	1			Length (mm)	
106	Length (mm) Nodule 10	cect10sl	text	1			Length (mm)	
107	Maximum width (mm)  Nodule 1	cect1sw	text	1			Maximum Width	
108	Maximum width (mm)  Nodule 2	cect2sw	text	1			Maximum Width	
109	Maximum width (mm)  Nodule 3	cect3sw	text	1			Maximum Width	
110	Maximum width (mm)  Nodule 4	cect4sw	text	1			Maximum Width	
111	Maximum width (mm)  Nodule 5	cect5sw	text	1			Maximum Width	
112	Maximum width (mm)  Nodule 6	cect6sw	text	1			Maximum Width	
113	Maximum width (mm)  Nodule 7	cect7sw	text	1			Maximum Width	
114	Maximum width (mm)  Nodule 8	cect8sw	text	1			Maximum Width	
115	Maximum width (mm)  Nodule 9	cect9sw	text	1			Maximum Width	
116	Maximum width (mm)  Nodule 10	cect10sw	text	1			Maximum Width	
117	Height (mm) Nodule 1	cect1sh	text	0			Height	
118	Height (mm) Nodule 2	cect2sh	text	0			Height	
119	Height (mm) Nodule 3	cect3sh	text	0			Height	
120	Height (mm) Nodule 4	cect4sh	text	0			Height	
121	Height (mm) Nodule 5	cect5sh	text	0			Height	
122	Height (mm) Nodule 6	cect6sh	text	0			Height	
123	Height (mm) Nodule 7	cect7sh	text	0			Height	
124	Height (mm) Nodule 8	cect8sh	text	0			Height	
125	Height (mm) Nodule 9	cect9sh	text	0			Height	
126	Height (mm) Nodule 10	cect10sh	text	0			Height	
127	Volume (mm 3 ) Nodule 1	cect1sv	text	0			Volume	
128	Volume (mm 3 ) Nodule 2	cect2sv	text	0			Volume	
129	Volume (mm 3 ) Nodule 3	cect3sv	text	0			Volume	
130	Volume (mm 3 ) Nodule 4	cect4sv	text	0			Volume	
131	Volume (mm 3 ) Nodule 5	cect5sv	text	0			Volume	
132	Volume (mm 3 ) Nodule 6	cect6sv	text	0			Volume	
133	Volume (mm 3 ) Nodule 7	cect7sv	text	0			Volume	
134	Volume (mm 3 ) Nodule 8	cect8sv	text	0			Volume	
135	Volume (mm 3 ) Nodule 9	cect9sv	text	0			Volume	
136	Volume (mm 3 ) Nodule 10	cect10sv	text	0			Volume	
137	Solid comp. of part-solid. Nodule length. Nodule 1	cect1ssl	text	1	length		length	
138	Solid comp. of part-solid. Nodule width. Nodule 1	cect1ssw	text	1	width		width	
139	Solid comp. of part-solid. Nodule length. Nodule 2	cect2ssl	text	1			length	
140	Solid comp. of part-solid. Nodule width. Nodule 2	cect2ssw	text	1			width	
141	Solid comp. of part-solid. Nodule length. Nodule 3	cect3ssl	text	1			length	
142	Solid comp. of part-solid. Nodule width. Nodule 3	cect3ssw	text	1			width	
143	Solid comp. of part-solid. Nodule length. Nodule 4	cect4ssl	text	1			length	
144	Solid comp. of part-solid. Nodule width. Nodule 4	cect4ssw	text	1			width	
145	Solid comp. of part-solid. Nodule length. Nodule 5	cect5ssl	text	1			length	
146	Solid comp. of part-solid. Nodule width. Nodule 5	cect5ssw	text	1			width	
147	Solid comp. of part-solid. Nodule length. Nodule 6	cect6ssl	text	1			length	
148	Solid comp. of part-solid. Nodule width. Nodule 6	cect6ssw	text	1			width	
149	Solid comp. of part-solid. Nodule length. Nodule 7	cect7ssl	text	1			length	
150	Solid comp. of part-solid. Nodule width. Nodule 7	cect7ssw	text	1			width	
151	Solid comp. of part-solid. Nodule length. Nodule 8	cect8ssl	text	1			length	
152	Solid comp. of part-solid. Nodule width. Nodule 8	cect8ssw	text	1			width	
153	Solid comp. of part-solid. Nodule length. Nodule 9	cect9ssl	text	1			length	
154	Solid comp. of part-solid. Nodule width. Nodule 9	cect9ssw	text	1			width	
155	Solid comp. of part-solid. Nodule length. Nodule 10	cect10ssl	text	1			length	
156	Solid comp. of part-solid. Nodule width. Nodule 10	cect10ssw	text	1			width	
157	Smooth edges Nodule 1	cect1se	checkbox	0		y	Yes	
158	Smooth edges Nodule 2	cect2se	checkbox	0		y	Yes	
159	Smooth edges Nodule 3	cect3se	checkbox	0		y	Yes	
160	Smooth edges Nodule 4	cect4se	checkbox	0		y	Yes	
161	Smooth edges Nodule 5	cect5se	checkbox	0		y	Yes	
162	Smooth edges Nodule 6	cect6se	checkbox	0		y	Yes	
163	Smooth edges Nodule 7	cect7se	checkbox	0		y	Yes	
164	Smooth edges Nodule 8	cect8se	checkbox	0		y	Yes	
165	Smooth edges Nodule 9	cect9se	checkbox	0		y	Yes	
166	Smooth edges Nodule 10	cect10se	checkbox	0		y	Yes	
167	Calcifications Nodule 1	cect1ca	checkbox	0		y	Yes	
168	Calcifications Nodule 2	cect2ca	checkbox	0		y	Yes	
169	Calcifications Nodule 3	cect3ca	checkbox	0		y	Yes	
170	Calcifications Nodule 4	cect4ca	checkbox	0		y	Yes	
171	Calcifications Nodule 5	cect5ca	checkbox	0		y	Yes	
172	Calcifications Nodule 6	cect6ca	checkbox	0		y	Yes	
173	Calcifications Nodule 7	cect7ca	checkbox	0		y	Yes	
174	Calcifications Nodule 8	cect8ca	checkbox	0		y	Yes	
175	Calcifications Nodule 9	cect9ca	checkbox	0		y	Yes	
176	Calcifications Nodule 10	cect10ca	checkbox	0		y	Yes	
177	Index Nodule	cectin	checkbox	0		1		
178	Index Nodule Nodule 1	cect1in	checkbox	0		y	Yes	
179	Index Nodule Nodule 2	cect2in	checkbox	0		y	Yes	
180	Index Nodule Nodule 3	cect3in	checkbox	0		y	Yes	
181	Index Nodule Nodule 4	cect4in	checkbox	0		y	Yes	
182	Index Nodule Nodule 5	cect5in	checkbox	0		y	Yes	
183	Index Nodule Nodule 6	cect6in	checkbox	0		y	Yes	
184	Index Nodule Nodule 7	cect7in	checkbox	0		y	Yes	
185	Index Nodule Nodule 8	cect8in	checkbox	0		y	Yes	
186	Index Nodule Nodule 9	cect9in	checkbox	0		y	Yes	
187	Index Nodule Nodule 10	cect10in	checkbox	0		y	Yes	
188	Spiculated Nodule 1	cect1sp	checkbox	0		y	Yes	
189	Spiculated Nodule 2	cect2sp	checkbox	0		y	Yes	
190	Spiculated Nodule 3	cect3sp	checkbox	0		y	Yes	
191	Spiculated Nodule 4	cect4sp	checkbox	0		y	Yes	
192	Spiculated Nodule 5	cect5sp	checkbox	0		y	Yes	
193	Spiculated Nodule 6	cect6sp	checkbox	0		y	Yes	
194	Spiculated Nodule 7	cect7sp	checkbox	0		y	Yes	
195	Spiculated Nodule 8	cect8sp	checkbox	0		y	Yes	
196	Spiculated Nodule 9	cect9sp	checkbox	0		y	Yes	
197	Spiculated Nodule 10	cect10sp	checkbox	0		y	Yes	
198	Distance from the costal pleura (mm)? Nodule 1	cect1pld	text	0			Distance	
199	Distance from the costal pleura (mm)? Nodule 2	cect2pld	text	0			Distance	
200	Distance from the costal pleura (mm)? Nodule 3	cect3pld	text	0			Distance	
201	Distance from the costal pleura (mm)? Nodule 4	cect4pld	text	0			Distance	
202	Distance from the costal pleura (mm)? Nodule 5	cect5pld	text	0			Distance	
203	Distance from the costal pleura (mm)? Nodule 6	cect6pld	text	0			Distance	
204	Distance from the costal pleura (mm)? Nodule 7	cect7pld	text	0			Distance	
205	Distance from the costal pleura (mm)? Nodule 8	cect8pld	text	0			Distance	
206	Distance from the costal pleura (mm)? Nodule 9	cect9pld	text	0			Distance	
207	Distance from the costal pleura (mm)? Nodule 10	cect10pld	text	0			Distance	
208	Action to take.  Nodule 1	cect1ac	select-one	0		-;s;f;a;e;c;b;p;r	-;Annual repeat CT;Follow-up CT;Abx + follow-up CT;PET;CT w contrast;CT-guided biopsy;Bronchoscopy;Resection	
209	Action to take.  Nodule 2	cect2ac	select-one	0		-;s;f;a;e;c;b;p;r	-;Annual repeat CT;Follow-up CT;Abx + follow-up CT;PET;CT w contrast;CT-guided biopsy;Bronchoscopy;Resection	
210	Action to take.  Nodule 3	cect3ac	select-one	0		-;s;f;a;e;c;b;p;r	-;Annual repeat CT;Follow-up CT;Abx + follow-up CT;PET;CT w contrast;CT-guided biopsy;Bronchoscopy;Resection	
211	Action to take.  Nodule 4	cect4ac	select-one	0		-;s;f;a;e;c;b;p;r	-;Annual repeat CT;Follow-up CT;Abx + follow-up CT;PET;CT w contrast;CT-guided biopsy;Bronchoscopy;Resection	
212	Action to take.  Nodule 5	cect5ac	select-one	0		-;s;f;a;e;c;b;p;r	-;Annual repeat CT;Follow-up CT;Abx + follow-up CT;PET;CT w contrast;CT-guided biopsy;Bronchoscopy;Resection	
213	Action to take.  Nodule 6	cect6ac	select-one	0		-;s;f;a;e;c;b;p;r	-;Annual repeat CT;Follow-up CT;Abx + follow-up CT;PET;CT w contrast;CT-guided biopsy;Bronchoscopy;Resection	
214	Action to take.  Nodule 7	cect7ac	select-one	0		-;s;f;a;e;c;b;p;r	-;Annual repeat CT;Follow-up CT;Abx + follow-up CT;PET;CT w contrast;CT-guided biopsy;Bronchoscopy;Resection	
215	Action to take.  Nodule 8	cect8ac	select-one	0		-;s;f;a;e;c;b;p;r	-;Annual repeat CT;Follow-up CT;Abx + follow-up CT;PET;CT w contrast;CT-guided biopsy;Bronchoscopy;Resection	
216	Action to take.  Nodule 9	cect9ac	select-one	0		-;s;f;a;e;c;b;p;r	-;Annual repeat CT;Follow-up CT;Abx + follow-up CT;PET;CT w contrast;CT-guided biopsy;Bronchoscopy;Resection	
217	Action to take.  Nodule 10	cect10ac	select-one	0		-;s;f;a;e;c;b;p;r	-;Annual repeat CT;Follow-up CT;Abx + follow-up CT;PET;CT w contrast;CT-guided biopsy;Bronchoscopy;Resection	
218	Comment on Nodule 1	cect1co	text	0			Comment	
219	Comment on Nodule 2	cect2co	text	0			Comment	
220	Comment on Nodule 3	cect3co	text	0			Comment	
