FIELD NUM	QUESTION	NAME	TYPE	REQUIRED	PLACEHOLDER	VALUES	LABELS
31	Smoking cessation services -- Have you used any of the following medications?	sbscsmo	checkbox	0		o	Other
32	Smoking cessation services -- Have you used any of the following medications?	sbscsmoo	text	0			Other medication
33	Smoking cessation services -- Have you been counseled on the 5 A’s (Ask, Assess, Advise, Assist, Arrange)?	sbscs5a	radio	0		n;y	No;Yes
34	Smoking cessation services -- Have you been referred for smoking cessation services?	sbscsref	radio	0		n;y	No;Yes
35	Family history of lung cancer	sbfc	radio	0		n;y;q	No;Yes;?
36	Family history of lung cancer -- Father?	sbfcf	radio	0		n;y	No;Yes
37	Family history of lung cancer -- Mother?	sbfcm	radio	0		n;y	No;Yes
38	Family history of lung cancer -- Siblings?	sbfcs	radio	0		n;y	No;Yes
39	Lung cancer	sbhlc	radio	0		n;y;q	No;Yes;?
40	Lung cancer -- Year	sbhlcdt	text	0	YYYY		Year
41	Melanoma	sbhme	radio	0		n;y;q	No;Yes;?
42	Melanoma -- Year	sbhmedt	text	0	YYYY		Year
43	Basal/squamous-cell skin cancer	sbhba	radio	0		n;y;q	No;Yes;?
44	Basal/squamous-cell skin cancer -- Year	sbhbadt	text	0	YYYY		Year
45	Leukemia	sbhle	radio	0		n;y;q	No;Yes;?
46	Leukemia -- Year	sbhledt	text	0	YYYY		Year
47	Lymphoma	sbhly	radio	0		n;y;q	No;Yes;?
48	Lymphoma -- Year	sbhlydt	text	0	YYYY		Year
49	Any other cancer	sbaoc	radio	0		n;y;q	No;Yes;?
50	Any other cancer -- Specify	sbaocsp	text	0			Specify
51	Any other cancer -- Year	sbaocyr	text	0	YYYY		Year
52	Any other cancer -- Primary Site	sbaocps	text	0			Primary site
53	Asthma	sbmpa	radio	0		n;y;q	No;Yes;?
54	 Asthma -- Under current treatment?	sbmpat	radio	0		n;y	No;Yes
55	COPD/Emphysema/Chronic bronchitis	sbmpc	radio	0		n;y;q	No;Yes;?
56	COPD/Emphysema/Chronic bronchitis -- Year	sbmpcw	text	0	YYYY		Year
57	Childhood pneumonia	sbmpn	radio	0		n;y;q	No;Yes;?
58	Diabetes	sbmpd	radio	0		n;y;q	No;Yes;?
59	Diabetes -- Starting at what age?	sbmpdw	text	0			Starting at what age?
60	Diabetes -- Treated?	sbmpdt	radio	0		n;y	No;Yes
61	Myocardial Infarction (MI)	sbmpmi	radio	0		n;y;q	No;Yes;?
62	Myocardial Infarction (MI) -- Year	sbmpmid	text	0	YYYY		Year
63	Myocardial Infarction (MI) -- Where Treated	sbmpmiw	text	0			Where Treated
64	Myocardial Infarction (MI)	sbmpas	radio	0		n;y;q	No;Yes;?
65	Myocardial Infarction (MI) -- Year	sbmpasw	text	0	YYYY		Year
66	Myocardial Infarction (MI) -- Where Treated	sbmpast	text	0			Where Treated
67	Myocardial Infarction (MI)	sbmpcabg	radio	0		n;y;q	No;Yes;?
68	Myocardial Infarction (MI) -- Year	sbmpcaby	text	0	YYYY		Year
69	Myocardial Infarction (MI) -- Where Treated	sbmpcawt	text	0			Where Treated
70	Myocardial Infarction (MI)	sbmpangi	radio	0		n;y;q	No;Yes;?
71	Myocardial Infarction (MI) -- Year	sbmpangy	text	0	YYYY		Year
72	Myocardial Infarction (MI) -- Where Treated	sbmpanwt	text	0			Where Treated
73	Myocardial Infarction (MI)	sbmphf	radio	0		n;y;q	No;Yes;?
74	Myocardial Infarction (MI) -- Year	sbmphfy	text	0	YYYY		Year
75	Myocardial Infarction (MI) -- Where Treated	sbmphfwt	text	0			Where Treated
76	High cholesterol	sbmphc	radio	0		n;y;q	No;Yes;?
77	Stroke	sbmps	radio	0		n;y;q	No;Yes;?
78	Stroke -- Year	sbmpsd	text	0	YYYY		Year
79	Peripheral vascular disease	sbmppv	radio	0		n;y;q	No;Yes;?
80	Peripheral vascular disease -- Year	sbmppvd	text	0	YYYY		Year
81	Hypertension	sbmpht	radio	0		n;y;q	No;Yes;?
82	Hypertension -- Treated?	sbmphtt	radio	0		n;y	No;Yes
83	Hypertension -- Year	sbmphtsw	text	0	YYYY		Year
84	Hypertension -- Highest Value	sbmphthv	text	0			Highest Value
85	Connective tissue diseases	sbmpct	radio	0		n;y;q	No;Yes;?
86	Connective tissue diseases -- Specify	sbmpctsp	text	0			Specify
87	Ulcer	sbmpulce	radio	0		n;y;q	No;Yes;?
88	Liver disease	sbmpld	radio	0		n;y;q	No;Yes;?
89	Renal disease	sbmprd	radio	0		n;y;q	No;Yes;?
90	Other	sbmpoth	radio	0		n;y;q	No;Yes;?
91	Other -- Specify	sbmpod	text	0			Specify
92	Comments	sbcmnt	textarea	0			Comments
