"Sub. #"	"Field Name"	"Title"	"Data Type"	"Req."	"Indx."	"Edit."	"Value"	"Definition"	"Comments"
1	"sbqttqtb"	"how many times?"	"PULLDOWN"				"-"	"-"	
2							"a"	1	
3							"b"	"2-5"	
4							"c"	"6-10"	
5							"d"	"10+"	
1	"sbqly2"	"last 12 months, number of times quit for 24 hours"	"PULLDOWN"				"-"	"-"	
2							"e"	0	
3							"a"	1	
4							"b"	"2-5"	
5							"c"	"6-10"	
6							"d"	"10+"	
1	"sbqst"	"seriously thinking of quitting"	"PULLDOWN"				"-"	"-"	
2							"y"	"yes, within the next 30 days"	
3							"m"	"yes, within the next 6 months"	
4							"n"	"no, not thinking of quitting"	
1	"sbcpd"	"Smoking cessation packet distributed"	"RADIO"				"n"	"no"	
2							"y"	"Yes"	
1	"sbsfb1"	"SF-8#1 - health is"	"RADIO"				1	"Excellent"	
2							2	"Very good"	
3							3	"Good"	
4							4	"Fair"	
5							5	"Poor"	
1	"sbsfb2"	"SF-8 #2 - limit usual activities"	"RADIO"				1	"Not at all"	
2							2	"Very little"	
3							3	"Somewhat"	
4							4	"Quite a lot"	
5							5	"Could not do physical activities"	
1	"sbsfb3"	"SF-8 #3 - difficulty with daily work"	"RADIO"				1	"Not at all"	
2							2	"A little bit"	
3							3	"Some"	
4							4	"Quite a lot"	
5							5	"Could not do daily work"	
1	"sbsfb4"	"SF-8 #4 - bodily pain"	"RADIO"				1	"None of the time"	
2							2	"Very Mild"	
3							3	"Mild"	
4							4	"Moderately"	
5							5	"Severe"	
6							6	"Very severe"	
1	"sbsfb5"	"SF-8 #5 - energy"	"RADIO"				1	"Very much"	
2							2	"Quite a lot"	
3							3	"Some"	
4							4	"A little"	
5							5	"None"	
1	"sbsfb6"	"SF-8 #6 - limited social activities"	"RADIO"				1	"None at all"	
2							2	"Very little"	
3							3	"Somewhat"	
4							4	"Quite a lot"	
5							5	"Could not do social actitivites"	
1	"sbsfb7"	"SF-8 #7 - emotional problems"	"RADIO"				1	"Not at all"	
2							2	"Slightly"	
3							3	"Moderately"	
4							4	"Quite a lot"	
5							5	"Extremely"	
1	"sbsfb8"	"SF-8 #8 - problems keeping from usual activities"	"RADIO"				1	"Not at all"	
2							2	"Very little"	
3							3	"Somewhat"	
4							4	"Quite a lot"	
5							5	"Could not do daily activities"	
1	"sbcfs"	"Has the participant signed the consent form?"	"RADIO"				"n"	"no"	
2							"y"	"Yes"	
1	"sbdoc"	"Date informed consent signed"	"RDATE"						
1	"sbioc"	"Name of individual obtaining consent"	"TEXT"						
