"station"	"SiteCode"	"Full Name"	"VISNFY17"	"Active"	"TimeZone"	"RegionFY15"	"DistrictNameFY16"	"DistrictNumberFY16"	"DistrictNameFY17"	"DistrictNumberFY17"	"City"
740	"VCB"	"(740) Texas Valley Coastal Bend HCS (Harlingen TX)"	17	"Y"	"Central Standard Time"	2	"Continental"	4	"Continental"	4	" San Antonio"
756	"ELP"	"(756) El Paso, TX"	17	"Y"	"Mountain Standard Time"	1	"Continental"	4	"Continental"	4	" El Paso"
436	"FHM"	"(436) Montana HCS (Fort Harrison MT)"	19	"Y"	"Mountain Standard Time"	1	"Continental"	4	"Continental"	4	" Fort Harrison"
442	"CHY"	"(442) Cheyenne WY"	19	"Y"	"Mountain Standard Time"	1	"Continental"	4	"Continental"	4	" Cheyenne"
554	"DEN"	"(554) Eastern Colorado HCS (Denver CO)"	19	"Y"	"Mountain Standard Time"	1	"Continental"	4	"Continental"	4	" Denver"
575	"GRJ"	"(575) Grand Junction, CO"	19	"Y"	"Mountain Standard Time"	1	"Continental"	4	"Continental"	4	" Grand Junction"
623	"MUS"	"(623) Muskogee, OK"	19	"Y"	"Central Standard Time"	2	"Continental"	4	"Continental"	4	" Muskogee"
635	"OKL"	"(635) Oklahoma City, OK"	19	"Y"	"Central Standard Time"	2	"Continental"	4	"Continental"	4	" Oklahoma City"
660	"SLC"	"(660) Salt Lake City HCS (Salt Lake City UT)"	19	"Y"	"Mountain Standard Time"	1	"Continental"	4	"Continental"	4	" Salt Lake City"
666	"SHE"	"(666) Sheridan, WY"	19	"Y"	"Mountain Standard Time"	1	"Continental"	4	"Continental"	4	" Sheridan"
463	"ANC"	"(463) Alaska VAHSRO (Anchorage AK)"	20	"Y"	"Alaskan Standard Time"	1	"Pacific"	5	"Pacific"	5	" Anchorage"
531	"BOI"	"(531) Boise,ID"	20	"Y"	"Mountain Standard Time"	1	"Pacific"	5	"Pacific"	5	" Boise"
648	"POR"	"(648) Portland, OR  (CACHE 5.0)"	20	"Y"	"Pacific Standard Time"	1	"Pacific"	5	"Pacific"	5	" Portland"
653	"ROS"	"(653) Roseburg HCS (Roseburg OR)"	20	"Y"	"Pacific Standard Time"	1	"Pacific"	5	"Pacific"	5	" Roseburg"
663	"PUG"	"(663) Puget Sound HCS (Seattle WA) (CACHE 5.0)"	20	"Y"	"Pacific Standard Time"	1	"Pacific"	5	"Pacific"	5	" Seattle"
668	"SPO"	"(668) Spokane, WA"	20	"Y"	"Pacific Standard Time"	1	"Pacific"	5	"Pacific"	5	" Spokane"
687	"WWW"	"(687) Walla Walla, WA"	20	"Y"	"Pacific Standard Time"	1	"Pacific"	5	"Pacific"	5	" Walla Walla"
692	"WCO"	"(692) White City, OR (CACHE 5.0)"	20	"Y"	"Pacific Standard Time"	1	"Pacific"	5	"Pacific"	5	" White City"
358	"MPI"	"(358) Manila, Philippines"	21	"Y"	"Taipei Standard Time"	1	"Pacific"	5	"Pacific"	5	" Manila"
459	"HON"	"(459) VA Pacific Islands HCS (Honolulu HI)"	21	"Y"	"Hawaiian Standard Time"	1	"Pacific"	5	"Pacific"	5	" Honolulu"
570	"FRE"	"(570) Central California HCS (Fresno CA)"	21	"Y"	"Pacific Standard Time"	1	"Pacific"	5	"Pacific"	5	" Fresno"
593	"LAS"	"(593) Southern Nevada HCS (Las Vegas NV)"	21	"Y"	"Pacific Standard Time"	1	"Pacific"	5	"Pacific"	5	" Las Vegas"
612	"MAC"	"(612) Northern California HCS (Martinez CA)"	21	"Y"	"Pacific Standard Time"	1	"Pacific"	5	"Pacific"	5	" Mather"
640	"PAL"	"(640) Palo Alto HCS (Palo Alto CA)"	21	"Y"	"Pacific Standard Time"	1	"Pacific"	5	"Pacific"	5	" Palo Alto"
654	"REN"	"(654) Sierra Nevada HCS (Reno NV)"	21	"Y"	"Pacific Standard Time"	1	"Pacific"	5	"Pacific"	5	" Reno"
662	"SFC"	"(662) San Francisco, CA"	21	"Y"	"Pacific Standard Time"	1	"Pacific"	5	"Pacific"	5	" San Francisco"
501	"ABQ"	"(501) New Mexico HCS (Albuquerque NM)"	22	"Y"	"Mountain Standard Time"	1	"Pacific"	5	"Pacific"	5	" Albuquerque"
600	"LON"	"(600) Long Beach HCS (Long Beach CA)"	22	"Y"	"Pacific Standard Time"	1	"Pacific"	5	"Pacific"	5	" Long Beach"
605	"LOM"	"(605) Loma Linda, CA"	22	"Y"	"Pacific Standard Time"	1	"Pacific"	5	"Pacific"	5	" Loma Linda"
644	"PHO"	"(644) Phoenix, AZ"	22	"Y"	"Mountain Standard Time"	1	"Pacific"	5	"Pacific"	5	" Phoenix"
649	"PRE"	"(649) Northern Arizona HCS (Prescott AZ)"	22	"Y"	"Mountain Standard Time"	1	"Pacific"	5	"Pacific"	5	" Prescott"
664	"SDC"	"(664) San Diego HCS (San Diego CA)"	22	"Y"	"Pacific Standard Time"	1	"Pacific"	5	"Pacific"	5	" San Diego"
678	"TUC"	"(678) Southern Arizona HCS (Tucson AZ)"	22	"Y"	"Mountain Standard Time"	1	"Pacific"	5	"Pacific"	5	" Tucson"
691	"GLA"	"(691) Greater Los Angeles HCS (Los Angeles CA)"	22	"Y"	"Pacific Standard Time"	1	"Pacific"	5	"Pacific"	5	" Los Angeles"
437	"FAR"	"(437) Fargo, ND (CACHE 5.0)"	23	"Y"	"Central Standard Time"	2	"MidWest"	3	"MidWest"	3	" Fargo"
438	"SUX"	"(438) Sioux Falls SD (CACHE 5.0)"	23	"Y"	"Central Standard Time"	2	"MidWest"	3	"MidWest"	3	" Sioux Falls"
568	"BHH"	"(568) Black Hills HCS (Fort Meade SD) (CACHE 5.0)"	23	"Y"	"Mountain Standard Time"	2	"MidWest"	3	"MidWest"	3	" Fort Mead"
618	"MIN"	"(618) Minneapolis, MN (CACHE 5.0)"	23	"Y"	"Central Standard Time"	2	"MidWest"	3	"MidWest"	3	" Minneapolis"
636	"OMA"	"(636) Central Plains HCS (Omaha NE)"	23	"Y"	"Central Standard Time"	2	"MidWest"	3	"MidWest"	3	" Omaha"
656	"STC"	"(656) St. Cloud, MN (CACHE 5.0)"	23	"Y"	"Central Standard Time"	2	"MidWest"	3	"MidWest"	3	" St Cloud"
